marka,model,year,fuel,price,currency,ad_link
Ford,Mondeo,2011 ,Diesel,26900,PLN,https://www.otomoto.pl/oferta/ford-mondeo-sliczne-mondeo-titanium-navi-convers-alu-led-2xpdc-lift-top-stan-ID6DV381.html#94d144d987
Opel,Vectra,1997 ,Gasoline,3550,PLN,https://www.otomoto.pl/oferta/opel-vectra-opel-vectra-b-stan-bardzo-dobry-ID6DV380.html#94d144d987
Mercedes-Benz,Klasa,2014 ,Gasoline,56900,PLN,https://www.otomoto.pl/oferta/mercedes-benz-klasa-a-amg-bi-xenon-led-alu-skora-z-niemiec-100-bezwypadek-serwis-mega-stan-ID6DV37Z.html#94d144d987
Ford,S-Max,2007 ,Diesel,16900,PLN,https://www.otomoto.pl/oferta/ford-s-max-7osob-ID6DV37X.html#94d144d987
Peugeot,3008,2019 ,Diesel,38250,PLN,https://www.otomoto.pl/oferta/peugeot-3008-eat8-allure-ID6DV37V.html#94d144d987
Hyundai,ix35,2012 ,Gasoline,46900,PLN,https://www.otomoto.pl/oferta/hyundai-ix35-unikat-tylko-86-tys-km-premium-xlnavikamerapanodachmega-stan-ID6DV37W.html#94d144d987
Ford,Fiesta,2017 ,Diesel,20900,PLN,https://www.otomoto.pl/oferta/ford-fiesta-salon-polska-ID6DV37P.html#94d144d987
Hyundai,I30,2017 ,Gasoline,41906,PLN,https://www.otomoto.pl/oferta/hyundai-i30-benzyna-gaz-salon-polska-gwarancja-ID6DV37M.html#94d144d987
Volkswagen,Fox,2005 ,Gasoline,5900,PLN,https://www.otomoto.pl/oferta/volkswagen-fox-vw-fox-1-2-benzyna-ID6DV37J.html#94d144d987
Opel,Astra,2014 ,Gasoline,36800,PLN,https://www.otomoto.pl/oferta/opel-astra-kamera-cofania-bardzo-bogate-wyposazenie-ID6DV37I.html#94d144d987
Opel,Insignia,2014 ,Gasoline,47500,PLN,https://www.otomoto.pl/oferta/opel-insignia-maly-przebieg-bogata-wersja-ID6DV37G.html#94d144d987
Mercedes-Benz,Klasa,2007 ,Diesel,49900,PLN,https://www.otomoto.pl/oferta/mercedes-benz-klasa-s-s320-cdi-panorama-comand-nawigacja-xenon-night-vision-memory-ID6DV37F.html#94d144d987
Opel,Mokka,2015 ,Diesel,45900,PLN,https://www.otomoto.pl/oferta/opel-mokka-bogata-wersja-wymieniony-rozrzad-ID6DV37E.html#94d144d987
Mazda,2,2007 ,Gasoline,6500,PLN,https://www.otomoto.pl/oferta/mazda-2-1-4-benzyna-80-km-klimatyzacja-alu-2x-klucze-z-niemiec-ID6DV37z.html#94d144d987
Honda,Odyssey,2016 ,Gasoline,86900,PLN,https://www.otomoto.pl/oferta/honda-odyssey-touring-elite-dvd-nawi-xenon-skory-8-osob-silnik-z-vcm-ID6DV379.html#94d144d987
Ford,KA,2009 ,Gasoline,9900,PLN,https://www.otomoto.pl/oferta/ford-ka-1-2-niski-przebieg-136-tys-km-2009-r-piekny-i-zadbany-ID6DV36G.html#94d144d987
Volvo,XC,2018 ,Diesel,179990,PLN,https://www.otomoto.pl/oferta/volvo-xc-60-leasing-fv23-rdesign-d4-190km-4x4-panorama-hak-kamera-lopatki-acc-ID6DV36t.html#94d144d987
Dacia,Sandero,2009 ,Gasoline,7700,PLN,https://www.otomoto.pl/oferta/dacia-sandero-dacia-sandero-ID6DV362.html#94d144d987
Fiat,Panda,2009 ,Gasoline,9200,PLN,https://www.otomoto.pl/oferta/fiat-panda-lpg-klima-salon-pl-ID6DV361.html#94d144d987
Peugeot,3008,2017 ,Diesel,68200,PLN,https://www.otomoto.pl/oferta/peugeot-3008-pudgeot-3008-ii-1-6-e-hdi-navi-led-ID6DV360.html#94d144d987
Audi,A8,2012 ,Electric/Gasoline,69495,PLN,https://www.otomoto.pl/oferta/audi-a8-audi-a8-hybrid-2012-ID6DV35Z.html#94d144d987
Audi,A6,2009 ,Diesel,41500,PLN,https://www.otomoto.pl/oferta/audi-a6-audi-a6-c6-ID6DV35X.html#94d144d987
Skoda,Octavia,2010 ,Diesel,24500,PLN,https://www.otomoto.pl/oferta/skoda-octavia-skoda-octavia-ii-vrs-170km-okazaja-ID6DV35V.html#94d144d987
Suzuki,Swift,2006 ,Gasoline,12900,PLN,https://www.otomoto.pl/oferta/suzuki-swift-nawigacjaklimaespabs129tyskm1-5benzyna10airbagfullopcja-ID6DV35W.html#94d144d987
Suzuki,Ignis,2002 ,Gasoline,8900,PLN,https://www.otomoto.pl/oferta/suzuki-ignis-suzuki-ignis-4x4-1-3-bezwypadkowe-tylko-111tys-km-ID6DV35U.html#94d144d987
Hyundai,ix35,2010 ,Diesel,35900,PLN,https://www.otomoto.pl/oferta/hyundai-ix35-polski-salon-i-wl-serwis-aso-130tys-km-klima-alu-ID6DV35T.html#94d144d987
Ford,Focus,2011 ,Diesel,12500,PLN,https://www.otomoto.pl/oferta/ford-focus-ford-focus-mk2-lift-1-6-hdi-zadbany-ID6DV35Q.html#94d144d987
Mercedes-Benz,Sprinter,2011 ,Diesel,36777,PLN,https://www.otomoto.pl/oferta/mercedes-benz-sprinter-319-sprinter-ID6DV35O.html#94d144d987
Fiat,Punto,2003 ,Gasoline,4600,PLN,https://www.otomoto.pl/oferta/fiat-punto-ii-2003r-lift-wsp-city-parktronic-bezwypadkowy-w-idealnym-stanie-ID6DV35L.html#94d144d987
Volvo,C30,2008 ,Diesel,15500,PLN,https://www.otomoto.pl/oferta/volvo-c30-2-0d-136ps-100-fabryczny-lakier-super-stan-gwarancja-ID6DV35x.html#94d144d987
Toyota,Yaris,2014 ,Gasoline,16900,PLN,https://www.otomoto.pl/oferta/toyota-yaris-salon-polska-benzyna-lpg-yaris-lift-ID6DV35w.html#94d144d987
Honda,Civic,2018 ,Gasoline,134990,PLN,https://www.otomoto.pl/oferta/honda-civic-2-0-benzyna-370-km-550-nm-fv23-ID6DV35u.html#178c806280
Opel,Astra,2009 ,Gasoline,17900,PLN,https://www.otomoto.pl/oferta/opel-astra-astra-opc-lineklimaalumyduzy-servisopcprzyciemniane-i-elek-szyby-ID6DV35t.html#178c806280
Renault,Megane,2014 ,Diesel,20900,PLN,https://www.otomoto.pl/oferta/renault-megane-megane-iii-lift-1-5dci-95km-klima-nawigacja-serwis-oplacony-ID6DV35s.html#178c806280
Suzuki,Swift,2013 ,Gasoline,26500,PLN,https://www.otomoto.pl/oferta/suzuki-swift-serwisowany-maly-przebieg-oplacony-zadbany-ID6DV35r.html#178c806280
Kia,Magentis,2006 ,Diesel,8900,PLN,https://www.otomoto.pl/oferta/kia-magentis-2006-2-0-crdi-140-km-serwis-aso-bardzo-ladna-i-zadbana-limuzyna-ID6DV35q.html#178c806280
Opel,Corsa,2015 ,Gasoline,28900,PLN,https://www.otomoto.pl/oferta/opel-corsa-wersja-black-editi-full-ID6DV35p.html#178c806280
Porsche,Macan,2018 ,Gasoline,235000,PLN,https://www.otomoto.pl/oferta/porsche-macan-2-0-aut-4x4-idealny-34-tys-km-bogata-wersja-z-panoramicznym-dachem-ID6DV35f.html#178c806280
Peugeot,407,2007 ,Diesel,9900,PLN,https://www.otomoto.pl/oferta/peugeot-407-rodzinny-bogata-wersja-zakup-na-raty-ID6DV35d.html#178c806280
Volvo,V50,2006 ,Diesel,11900,PLN,https://www.otomoto.pl/oferta/volvo-v50-kombi-2-0d-2006r-bardzo-ladny-stan-ID6DV355.html#178c806280
Nissan,Qashqai,2010 ,Gasoline,31500,PLN,https://www.otomoto.pl/oferta/nissan-qashqai-ID6DV34Q.html#178c806280
Audi,A8,2016 ,Diesel,189900,PLN,https://www.otomoto.pl/oferta/audi-a8-ID6DV34E.html#178c806280
