marka,model,year,fuel,country,place,price,currency,photo_link,ad_link
Toyota,Corolla,2005,Gasoline,DE,38106 Braunschweig,2900,EUR,https://prod.pictures.autoscout24.net/listing-images/0b6ba8c4-b30d-5d6b-e053-0100007f79a9_13d97c9d-a90d-4107-bc26-378c7b00f355.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-corolla-verso-1-8-sol-gasoline-grey-535df615-0916-4d51-8b19-8b1382d302c1
Toyota,Corolla,2003,Diesel,DE,38106 Braunschweig,900,EUR,https://prod.pictures.autoscout24.net/listing-images/3678d76e-428d-4b14-8c0a-2463e128ca09_504343ac-a7fc-4930-9014-6d205b47dd5a.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-corolla-2-0-tdi-d-4d-5-porte-diesel-grey-f379a8c4-5e3e-e571-e053-0100007fe3d5
Toyota,Urban,2010,Gasoline,IT,25080 Manerba del Garda - Brescia - Bs,6450,EUR,https://prod.pictures.autoscout24.net/listing-images/e6c81fa2-d381-466e-9d01-f985e288e25b_5f4b311e-e774-4238-9322-f8387c7828c4.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-urban-cruiser-1-3-vvt-i-dynamic-gasoline-black-5a70a8c4-f8f3-2d71-e053-0100007f01a7
Toyota,Auris,2007,Diesel,BE,1300 Wavre,4900,EUR,https://prod.pictures.autoscout24.net/listing-images/bfd8d9c2-b323-4fff-853a-29a02e4ddb62_5a046d86-966c-4f4e-85a3-0d299a23f048.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-auris-2-0d-4d-sol-diesel-black-39654c20-2a5b-4974-b0f6-1a2e58adb90d
Toyota,Corolla,2008,Diesel,BE,1300 Wavre,4999,EUR,https://prod.pictures.autoscout24.net/listing-images/3e5940c9-0f2b-4880-a6f8-4d4bbfdf9d24_65f91f68-7567-47fc-830f-def108a98e05.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-corolla-1-4-d-4d-luna-pack-diesel-grey-3e5940c9-0f2b-4880-a6f8-4d4bbfdf9d24
Toyota,Yaris,2017,Electric/Gasoline,IT,25080 Manerba del Garda - Brescia - Bs,11300,EUR,https://prod.pictures.autoscout24.net/listing-images/effed61c-0a5f-4cc4-8ce3-00445b9c6a6a_4babcf39-8028-442c-a4d2-024a3843d752.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-yaris-1-5-hybrid-5-porte-business-electric-gasoline-grey-effed61c-0a5f-4cc4-8ce3-00445b9c6a6a
Toyota,Avensis,2007,Gasoline,IT,25080 Manerba del Garda - Brescia - Bs,3500,EUR,https://prod.pictures.autoscout24.net/listing-images/adef27e9-73db-4825-acd5-375f6a021e19_e6280565-3a3a-4fba-8902-95bf9758a20f.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-avensis-2-0-vvt-i-combi-edition-gasoline-silver-adef27e9-73db-4825-acd5-375f6a021e19
Toyota,Aygo,2017,Gasoline,FR,64121 Serres Castet,7990,EUR,https://prod.pictures.autoscout24.net/listing-images/069b566c-ac2c-46a3-af43-443476fe4070_b5186a95-a919-47ad-b64c-66318df7e2b3.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-aygo-1-0-vvt-i-69-cv-5-porte-x-cool-gasoline-blue-069b566c-ac2c-46a3-af43-443476fe4070
Toyota,Yaris,2002,Gasoline,BE,1731 Asse,1800,EUR,https://prod.pictures.autoscout24.net/listing-images/c1c6a7c4-cc78-b031-e053-0100007f77f3_c89c2aa0-bfdf-49c0-a98e-6a8624107e80.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-yaris-1-0i-16v-cat-3-porte-gasoline-blue-c1c6a7c4-cc78-b031-e053-0100007f77f3
Toyota,Yaris,2017,Electric/Gasoline,ES,28046 Madrid,11990,EUR,https://prod.pictures.autoscout24.net/listing-images/8dcea179-1cd5-4ddb-97f9-faddf4fbdcfa_2c4d2882-0f4b-45c5-83c9-35e3f55238e3.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-yaris-hsd-100h-business-5p-electric-gasoline-white-8dcea179-1cd5-4ddb-97f9-faddf4fbdcfa
Toyota,RAV,2015,Diesel,ES,46190 RIBARROJA DEL TURIA,13500,EUR,https://prod.pictures.autoscout24.net/listing-images/fd2692a5-cd7d-4fd3-9de3-d9a5233e2071_d9ff89d3-cb98-4f72-baf8-3ff748866728.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-rav-4-2-0-d-4d-2wd-active-diesel-green-fd2692a5-cd7d-4fd3-9de3-d9a5233e2071
Toyota,Yaris,2016,Gasoline,FR,69200 VENISSIEU,8000,EUR,https://prod.pictures.autoscout24.net/listing-images/f0f2a992-44aa-4057-99e0-751c074ef768_9028aaa7-3956-41a4-bfbd-f0a06c8a8bfe.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-yaris-1-0-5-porte-cool-gasoline-red-f0f2a992-44aa-4057-99e0-751c074ef768
Toyota,C-HR,2018,Gasoline,FR,75005 Paris,18000,EUR,https://prod.pictures.autoscout24.net/listing-images/32c4f9f9-9727-475c-b7bd-a83f57d71b9b_5935bd7b-9047-4adc-827f-87dbddf07286.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-c-hr-gasoline-white-32c4f9f9-9727-475c-b7bd-a83f57d71b9b
Toyota,Aristo,2003,Gasoline,FR,75005 Paris,11950,EUR,https://prod.pictures.autoscout24.net/listing-images/455fa6c4-e14c-a42b-e053-0100007f9bd5_1b96e574-443b-44cd-9f54-c467af487bd6.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-aristo-v300-vertex-gasoline-white-455fa6c4-e14c-a42b-e053-0100007f9bd5
Toyota,Aygo,2007,Gasoline,FR,75005 Paris,3000,EUR,https://prod.pictures.autoscout24.net/listing-images/1043a6c4-057b-9c20-e053-0100007f2b1e_f7258b12-abca-4dc2-ab22-6ff1f79644c1.jpg/420x315.jpg,https://www.autoscout24.com/offers/toyota-aygo-1-0-12v-gasoline-gold-1043a6c4-057b-9c20-e053-0100007f2b1e
